Ocena dokonèanih stanovanj po številu sob in površini, po obèinah, Slovenija, letno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OBÈINE;MERITVE;2010 Stanovanja - SKUPAJ;2010 Enosobna;2010 Dvosobna;2010 Trisobna;2010 Štirisobna;2010 Pet- in veèsobna;2011 Stanovanja - SKUPAJ;2011 Enosobna;2011 Dvosobna;2011 Trisobna;2011 Štirisobna;2011 Pet- in veèsobna;2012 Stanovanja - SKUPAJ;2012 Enosobna;2012 Dvosobna;2012 Trisobna;2012 Štirisobna;2012 Pet- in veèsobna;2013 Stanovanja - SKUPAJ;2013 Enosobna;2013 Dvosobna;2013 Trisobna;2013 Štirisobna;2013 Pet- in veèsobna;2014 Stanovanja - SKUPAJ;2014 Enosobna;2014 Dvosobna;2014 Trisobna;2014 Štirisobna;2014 Pet- in veèsobna;2015 Stanovanja - SKUPAJ;2015 Enosobna;2015 Dvosobna;2015 Trisobna;2015 Štirisobna;2015 Pet- in veèsobna;2016 Stanovanja - SKUPAJ;2016 Enosobna;2016 Dvosobna;2016 Trisobna;2016 Štirisobna;2016 Pet- in veèsobna;2017 Stanovanja - SKUPAJ;2017 Enosobna;2017 Dvosobna;2017 Trisobna;2017 Štirisobna;2017 Pet- in veèsobna;2018 Stanovanja - SKUPAJ;2018 Enosobna;2018 Dvosobna;2018 Trisobna;2018 Štirisobna;2018 Pet- in veèsobna;2019 Stanovanja - SKUPAJ;2019 Enosobna;2019 Dvosobna;2019 Trisobna;2019 Štirisobna;2019 Pet- in veèsobna;2020 Stanovanja - SKUPAJ;2020 Enosobna;2020 Dvosobna;2020 Trisobna;2020 Štirisobna;2020 Pet- in veèsobna
Cerklje na Gorenjskem;Število;34;0;1;1;16;16;29;0;1;0;8;20;18;0;0;2;7;9;9;2;0;0;4;3;37;3;12;10;5;7;10;0;0;0;6;4;19;3;2;3;6;5;8;0;0;3;1;4;19;0;1;4;4;10;7;0;0;0;1;6;23;1;0;3;1;18
Cerklje na Gorenjskem;Površina [m2];5514;0;60;93;1742;3619;5826;0;96;0;1590;4140;3586;0;0;401;1607;1578;1679;451;0;0;740;488;3631;91;676;783;795;1286;1844;0;0;0;1008;836;1836;97;108;275;612;744;827;0;0;192;232;403;2956;0;99;392;694;1771;1264;0;0;0;37;1227;3579;32;0;409;80;3058
Cerknica;Število;32;0;0;4;3;25;30;2;0;0;8;20;29;1;1;3;8;16;19;0;0;2;7;10;24;0;0;3;11;10;15;0;0;2;6;7;15;0;0;2;3;10;25;1;0;4;9;11;22;0;1;3;5;13;19;0;2;2;5;10;11;0;0;3;2;6
Cerknica;Površina [m2];6412;0;0;486;453;5473;5382;160;0;0;1214;4008;5774;45;41;317;1419;3952;3615;0;0;214;1309;2092;4293;0;0;359;1835;2099;3044;0;0;246;1370;1428;2969;0;0;175;659;2135;4547;72;0;475;1539;2461;3550;0;114;299;858;2279;2985;0;117;248;935;1685;1608;0;0;361;367;880
Cerkno;Število;8;0;1;0;1;6;11;0;1;1;2;7;6;0;1;0;1;4;2;0;0;0;1;1;13;0;2;6;2;3;6;0;1;0;4;1;11;0;0;3;2;6;14;0;0;3;5;6;10;1;1;0;1;7;7;0;0;1;4;2;6;0;2;0;0;4
Cerkno;Površina [m2];1236;0;102;0;103;1031;1665;0;61;131;194;1279;965;0;69;0;248;648;463;0;0;0;224;239;2041;0;120;526;554;841;981;0;92;0;614;275;1980;0;0;212;529;1239;2914;0;0;389;1000;1525;1996;30;188;0;213;1565;924;0;0;132;458;334;1092;0;130;0;0;962
Cerkvenjak;Število;9;0;0;4;2;3;23;0;12;0;5;6;5;0;1;1;0;3;8;0;1;1;2;4;4;0;0;1;2;1;4;0;0;0;3;1;10;1;0;1;3;5;6;0;0;1;1;4;7;0;0;0;4;3;12;0;0;0;3;9;5;0;0;2;2;1
Cerkvenjak;Površina [m2];1319;0;0;547;261;511;2963;0;751;0;788;1424;746;0;62;91;0;593;1190;0;59;118;280;733;678;0;0;87;361;230;724;0;0;0;573;151;1340;36;0;82;436;786;1517;0;0;100;129;1288;1431;0;0;0;659;772;2584;0;0;0;444;2140;738;0;0;244;351;143
Cirkulane;Število;4;0;0;2;0;2;5;0;0;2;0;3;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0;2;0;1;5;0;0;2;3;0;3;0;0;3;0;0;14;0;4;2;4;4;8;0;3;1;4;0;3;0;0;1;1;1
Cirkulane;Površina [m2];428;0;0;108;0;320;822;0;0;140;0;682;166;0;0;0;0;166;0;0;0;0;0;0;64;0;64;0;0;0;322;0;0;167;0;155;451;0;0;188;263;0;194;0;0;194;0;0;1899;0;316;142;442;999;1182;0;279;192;711;0;464;0;0;185;65;214
