Pogodbena cena / Odškodnina,Leto izgradnje dela stavbe,Novogradnja,Dejanska raba dela stavbe,Število sob,Površina dela stavbe,Uporabna površina,Statistična.regija
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,NA,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,17,17,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
40000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,4,21.5,21.5,Osrednjeslovenska
38000,1973,0,1122102 - Stanovanje v stavbi s šest do dvajset stanovanj,1,48,37.9,Primorsko-notranjska
30000,1995,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,0,143,115.8,Osrednjeslovenska
157000,1969,0,1122103 - Stanovanje v stavbi z enaindvajset do petdeset stanovanji,3,81.6,70.7,Osrednjeslovenska
307000,1960,0,1110001 - Stanovanje v samostoječi stavbi z enim stanovanjem,6,242,133.8,Gorenjska
70000,1968,0,1122102 - Stanovanje v stavbi s šest do dvajset stanovanj,2,36.5,34,Osrednjeslovenska
55000,1995,0,1122103 - Stanovanje v stavbi z enaindvajset do petdeset stanovanji,2,51,51,Podravska
70000,1988,0,1122104 - Stanovanje v stavbi z več kot petdeset stanovanji,2,66.1,56.6,Osrednjeslovenska
60000,1965,0,1122103 - Stanovanje v stavbi z enaindvajset do petdeset stanovanji,2,52,47,Osrednjeslovenska
50000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,21.5,21.5,Osrednjeslovenska
50000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,21.5,21.5,Osrednjeslovenska
50000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
50000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,17,17,Osrednjeslovenska
50000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
50000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
50000,1983,0,1122100 - Stanovanje v večstanovanjski stavbi ali stanovanjsko poslovni stavbi,1,19.2,19.2,Osrednjeslovenska
